Run	Sample_Name	individual
SRR5243250	H20-4	C2-20.4
SRR5243251	H20-3	C2-20.3
SRR5243252	H20-2	C2-20.2
SRR5243253	H20-1	C2-20.1
SRR5243254	H19-4	C2-19.4
SRR5243255	H19-3	C2-19.3
SRR5243256	H19-2	C2-19.2
SRR5243257	H19-1	C2-19.1
SRR5243258	H18-4	C2-18.4
SRR5243259	H18-3	C2-18.3
SRR5243260	H18-2	C2-18.2
SRR5243261	H18-1	C2-18.1
SRR5243262	H17-4	C2-17.4
SRR5243263	H17-3	C2-17.3
SRR5243264	H17-2	C2-17.2
SRR5243265	H17-1	C2-17.1
SRR5243266	H15-4	C2-15.4
SRR5243267	H15-3	C2-15.3
SRR5243268	H15-2	C2-15.2
SRR5243269	H15-1	C2-15.1
SRR5243270	H14-4	C2-14.4
SRR5243271	H14-3	C2-14.3
SRR5243272	H14-2	C2-14.2
SRR5243273	H14-1	C2-14.1
SRR5243274	H13-4	C2-13.4
SRR5243275	H13-3	C2-13.3
SRR5243276	H13-2	C2-13.2
SRR5243277	H13-1	C2-13.1
SRR5243278	H12-4	C2-12.4
SRR5243279	H12-3	C2-12.3
SRR5243280	H12-2	C2-12.2
SRR5243281	H12-1	C2-12.1
SRR5243282	H10-4	C2-10.4
SRR5243283	H10-3	C2-10.3
SRR5243284	H10-2	C2-10.2
SRR5243285	H10-1	C2-10.1
SRR5243286	H4-4	C2-4.4
SRR5243287	H4-3	C2-4.3
SRR5243288	H4-2	C2-4.2
SRR5243289	H4-1	C2-4.1
SRR5243290	H3-4	C2-3.4
SRR5243291	H3-3	C2-3.3
SRR5243292	H3-2	C2-3.2
SRR5243293	H3-1	C2-3.1
SRR5243294	H1-4	C2-1.4
SRR5243295	H1-3	C2-1.3
SRR5243296	H1-2	C2-1.2
SRR5243297	H1-1	C2-1.1
