cross	tetrad	individual	chromosome	left_bound	right_bound	mid_point	length
C2	C2-1	C2-1.1	chromosome_1	2031009	2035598	2033303	4589
C2	C2-1	C2-1.1	chromosome_1	7662524	7662693	7662608	169
C2	C2-1	C2-1.1	chromosome_2	2393146	2398282	2395714	5136
C2	C2-1	C2-1.1	chromosome_2	2890548	3025815	2958181	135267
C2	C2-1	C2-1.1	chromosome_2	3556337	3575191	3565764	18854
C2	C2-1	C2-1.1	chromosome_2	7980356	8315122	8147739	334766
C2	C2-1	C2-1.1	chromosome_4	2481121	2481186	2481153	65
C2	C2-1	C2-1.1	chromosome_9	2644728	2645134	2644931	406
C2	C2-1	C2-1.1	chromosome_9	4049203	4049389	4049296	186
C2	C2-1	C2-1.1	chromosome_10	230530	232238	231384	1708
C2	C2-1	C2-1.1	chromosome_11	2193291	2286585	2239938	93294
C2	C2-1	C2-1.1	chromosome_12	2689305	2689398	2689351	93
C2	C2-1	C2-1.1	chromosome_16	2660592	4008618	3334605	1348026
C2	C2-1	C2-1.1	chromosome_17	288488	290288	289388	1800
C2	C2-1	C2-1.1	chromosome_17	6800094	6800220	6800157	126
C2	C2-1	C2-1.2	chromosome_1	7662713	7662800	7662756	87
C2	C2-1	C2-1.2	chromosome_2	2890548	3025815	2958181	135267
C2	C2-1	C2-1.2	chromosome_2	3660801	3688073	3674437	27272
C2	C2-1	C2-1.2	chromosome_2	7980356	8315122	8147739	334766
C2	C2-1	C2-1.2	chromosome_3	3778429	3778479	3778454	50
C2	C2-1	C2-1.2	chromosome_5	629131	632151	630641	3020
C2	C2-1	C2-1.2	chromosome_6	3153068	3153103	3153085	35
C2	C2-1	C2-1.2	chromosome_6	6973402	6973861	6973631	459
C2	C2-1	C2-1.2	chromosome_7	1011656	1320640	1166148	308984
C2	C2-1	C2-1.2	chromosome_8	107533	108486	108009	953
C2	C2-1	C2-1.2	chromosome_9	2278862	2350035	2314448	71173
C2	C2-1	C2-1.2	chromosome_9	2644728	2645134	2644931	406
C2	C2-1	C2-1.2	chromosome_9	4049203	4049389	4049296	186
C2	C2-1	C2-1.2	chromosome_12	7371719	7371796	7371757	77
C2	C2-1	C2-1.2	chromosome_13	1771467	1771606	1771536	139
C2	C2-1	C2-1.2	chromosome_14	2570517	2570558	2570537	41
C2	C2-1	C2-1.2	chromosome_15	1361373	1384344	1372858	22971
C2	C2-1	C2-1.2	chromosome_16	1017678	1017735	1017706	57
C2	C2-1	C2-1.3	chromosome_2	2393146	2398282	2395714	5136
C2	C2-1	C2-1.3	chromosome_2	2890548	3025815	2958181	135267
C2	C2-1	C2-1.3	chromosome_2	3660801	3688073	3674437	27272
C2	C2-1	C2-1.3	chromosome_2	7980356	8315122	8147739	334766
C2	C2-1	C2-1.3	chromosome_3	3778021	3778384	3778202	363
C2	C2-1	C2-1.3	chromosome_5	629131	632151	630641	3020
C2	C2-1	C2-1.3	chromosome_8	107533	108486	108009	953
C2	C2-1	C2-1.3	chromosome_9	2644728	2645134	2644931	406
C2	C2-1	C2-1.3	chromosome_9	4049203	4049389	4049296	186
C2	C2-1	C2-1.3	chromosome_12	2689834	2689890	2689862	56
C2	C2-1	C2-1.3	chromosome_12	7371413	7371428	7371420	15
C2	C2-1	C2-1.3	chromosome_13	1770836	1771205	1771020	369
C2	C2-1	C2-1.3	chromosome_14	2570688	2571066	2570877	378
C2	C2-1	C2-1.3	chromosome_16	1018031	1018051	1018041	20
C2	C2-1	C2-1.3	chromosome_17	288488	290288	289388	1800
C2	C2-1	C2-1.3	chromosome_17	6800415	6800431	6800423	16
C2	C2-1	C2-1.4	chromosome_1	2031009	2035598	2033303	4589
C2	C2-1	C2-1.4	chromosome_2	2890548	3025815	2958181	135267
C2	C2-1	C2-1.4	chromosome_2	3556337	3575191	3565764	18854
C2	C2-1	C2-1.4	chromosome_2	7980356	8315122	8147739	334766
C2	C2-1	C2-1.4	chromosome_4	2481334	2482010	2481672	676
C2	C2-1	C2-1.4	chromosome_6	3153270	3153511	3153390	241
C2	C2-1	C2-1.4	chromosome_6	6973861	6973959	6973910	98
C2	C2-1	C2-1.4	chromosome_7	1011656	1320640	1166148	308984
C2	C2-1	C2-1.4	chromosome_9	2278862	2350035	2314448	71173
C2	C2-1	C2-1.4	chromosome_9	2644728	2645134	2644931	406
C2	C2-1	C2-1.4	chromosome_9	4049203	4049389	4049296	186
C2	C2-1	C2-1.4	chromosome_10	230212	230232	230222	20
C2	C2-1	C2-1.4	chromosome_11	2193291	2286585	2239938	93294
C2	C2-1	C2-1.4	chromosome_15	1361373	1384344	1372858	22971
C2	C2-1	C2-1.4	chromosome_16	2660592	4008618	3334605	1348026
C2	C2-3	C2-3.1	chromosome_4	1323264	1331608	1327436	8344
C2	C2-3	C2-3.1	chromosome_6	5731657	5833608	5782632	101951
C2	C2-3	C2-3.1	chromosome_8	148660	157529	153094	8869
C2	C2-3	C2-3.1	chromosome_8	209815	229176	219495	19361
C2	C2-3	C2-3.1	chromosome_8	2655790	2661811	2658800	6021
C2	C2-3	C2-3.1	chromosome_9	2644728	2645134	2644931	406
C2	C2-3	C2-3.1	chromosome_9	4049226	4049389	4049307	163
C2	C2-3	C2-3.1	chromosome_9	5684077	5685877	5684977	1800
C2	C2-3	C2-3.1	chromosome_10	230232	230276	230254	44
C2	C2-3	C2-3.1	chromosome_10	4924609	4978717	4951663	54108
C2	C2-3	C2-3.1	chromosome_12	7725263	7725395	7725329	132
C2	C2-3	C2-3.1	chromosome_14	1718178	1718210	1718194	32
C2	C2-3	C2-3.1	chromosome_15	268421	271438	269929	3017
C2	C2-3	C2-3.1	chromosome_17	4679071	4704427	4691749	25356
C2	C2-3	C2-3.1	chromosome_17	5045756	5063031	5054393	17275
C2	C2-3	C2-3.2	chromosome_1	3789815	3791748	3790781	1933
